id,x,y,symbol
HGG7046,2678448.862,1251970.809,white_circle
HG2835,2678477.981,1251982.895,double_white_circle
HGC5312,2678488.269,1251990.442,white_circle
HGK4855,2678517.588,1251993.878,white_circle
HGQ7000,2678530.028,1252011.247,white_circle
HGE4711,2678577.202,1252034.75,white_circle
HGK4665,2678605.306,1252049.976,white_circle
HGI4665,2678597.734,1252044.98,white_circle
HGZ6111,2678605.772,1252037.815,white_circle
HGH4671,2678639.503,1252042.082,white_circle
HGQ6111,2678626.345,1252030.068,white_circle
HGV6115,2678617.746,1252038.426,white_circle
HG2829,2678544.804,1252016.213,double_white_circle
HG2888,2678590.863,1252000.01,double_white_circle
HGE4671,2678641.627,1252050.534,white_circle
HGF4671,2678641.058,1252049.619,white_circle
HGG4671,2678640.611,1252048.636,white_circle
HGI4671,2678640.842,1252035.578,white_circle
HGD4672,2678664.627,1251977.419,white_circle
HGA4303,2678712.368,1251970.375,white_circle
HGF4264,2678729.587,1251976.385,white_circle
HGH4264,2678731.807,1251977.135,white_circle
HG2577,2678738.884,1251970.573,double_white_circle
HG3001,2678494.992,1251953.532,double_white_circle
HGQ0291,2678465.892,1251891.875,white_circle
HGR0291,2678468.442,1251895.674,white_circle
HG2735,2678463.792,1251896.562,double_white_circle
HGD4234,2678479.721,1251869.476,white_circle
HGK4233,2678471.721,1251864.047,white_circle
HGB4306,2678494.912,1251877.915,white_circle
HGE0294,2678490.502,1251880.865,white_circle
HGF4602,2678484.142,1251879.615,white_circle
HGH4234,2678490.182,1251875.555,white_circle
HGC4305,2678500.792,1251880.745,white_circle
HGF4234,2678488.032,1251874.395,white_circle
HGA4345,2678506.519,1251864.596,white_circle
HG2734,2678500.177,1251870.67,double_white_circle
HGA4305,2678511.522,1251885.663,white_circle
HGA4306,2678520.442,1251870.894,white_circle
HGC4306,2678511.292,1251866.914,white_circle
HGE4602,2678517.242,1251862.925,white_circle
HGF4305,2678510.712,1251866.664,white_circle
HGE4305,2678530.232,1251874.983,white_circle
HGH4233,2678445.96,1251837.54,white_circle
HG2569,2678450.624,1251842.351,double_white_circle
HGI4233,2678481.721,1251850.297,white_circle
HGA4235,2678440.71,1251829.051,white_circle
HGG4233,2678459.991,1251827.939,white_circle
HGC4234,2678488.832,1251855.127,white_circle
HGE4234,2678496.232,1251859.506,white_circle
HGD0293,2678518.081,1251856.825,white_circle
HGH6113,2678520.645,1251860.64,white_circle
HGK0291,2678529.541,1251849.125,white_circle
HGL0291,2678532.151,1251852.915,white_circle
HG3048,2678489.763,1251813.655,double_white_circle
HGC4233,2678444.309,1251768.535,white_circle
HGE4233,2678447.019,1251799.593,white_circle
HGL4233,2678444.189,1251782.244,white_circle
HG2887,2678536.325,1251958.45,double_white_circle
HGC4303,2678592.752,1251921.679,white_circle
HGD4354,2678615.191,1251931.658,white_circle
HGE4354,2678620.691,1251934.068,white_circle
HG2578,2678639.359,1251932.263,double_white_circle
HGL4855,2678560.653,1251907.447,white_circle
HG2579,2678546.886,1251891.492,double_white_circle
HGK4863,2678550.832,1251883.421,white_circle
HGL4863,2678550.832,1251870.455,white_circle
HGM4863,2678554.632,1251870.455,white_circle
HGN4863,2678555.532,1251869.455,white_circle
HGO4863,2678558.832,1251869.455,white_circle
HGI4864,2678575.644,1251863.368,white_circle
HGK4864,2678581.728,1251863.299,white_circle
HG2805,2678573.569,1251864.615,double_white_circle
HGB4303,2678599.342,1251903.29,white_circle
HGA4867,2678611.001,1251871.537,white_circle
HGB4867,2678610.235,1251875.259,white_circle
HGC4867,2678610.85,1251877.734,white_circle
HGH4866,2678612.35,1251864.973,white_circle
HGD4867,2678627.893,1251882.916,white_circle
HGE4673,2678652.728,1251965.566,white_circle
HGL4673,2678653.785,1251958.55,white_circle
HG2825,2678660.565,1251968.032,double_white_circle
HGA4355,2678650.571,1251946.687,white_circle
HGA4674,2678651.499,1251951.832,white_circle
